gender,age_group,ethnicity,years_experience,education_level,interview_score,hired
Male,31-45,Hispanic,14,HS,53,1
Female,46-60,Black,11,PhD,75,1
Female,18-30,Black,15,Bachelor,72,1
Female,18-30,Hispanic,18,PhD,62,1
Male,18-30,Hispanic,7,PhD,89,1
Male,18-30,Hispanic,16,HS,84,1
Male,60+,Asian,4,Master,41,1
Female,18-30,Black,15,HS,80,1
Female,60+,Asian,5,Master,60,0
Female,60+,Asian,7,HS,41,0
Male,18-30,Hispanic,17,PhD,66,0
Female,18-30,Hispanic,11,HS,96,1
Female,31-45,White,14,HS,48,1
Male,46-60,White,8,HS,40,0
Male,18-30,Asian,12,PhD,50,1
Male,31-45,Black,14,PhD,42,1
Male,31-45,Hispanic,9,PhD,91,1
Female,46-60,Hispanic,15,PhD,62,0
Male,60+,Asian,6,Master,65,1
Male,18-30,White,16,Master,43,1
Female,46-60,Black,6,Bachelor,57,0
Male,18-30,White,13,PhD,94,1
Male,31-45,White,14,Master,45,0
Male,31-45,White,6,HS,74,0
Male,60+,White,8,PhD,61,0
Female,31-45,Hispanic,18,Bachelor,82,1
Male,31-45,Hispanic,15,Bachelor,54,0
Female,46-60,White,7,Bachelor,61,0
Female,18-30,Black,17,HS,99,1
Male,18-30,Asian,17,Master,76,1
Female,46-60,Black,19,HS,91,0
Male,60+,Black,6,PhD,81,1
Male,18-30,Black,2,Bachelor,51,1
Female,31-45,White,17,HS,86,1
Female,18-30,Hispanic,9,HS,88,0
Female,31-45,Black,6,Master,81,0
Male,60+,White,16,Master,77,0
Male,46-60,Black,13,Bachelor,57,1
Female,18-30,Black,2,HS,84,1
Male,46-60,White,11,HS,74,1
Male,18-30,Hispanic,12,Master,69,1
Male,31-45,Hispanic,1,HS,63,1
Male,46-60,Asian,2,HS,81,0
Female,18-30,White,4,HS,69,0
Male,31-45,Asian,10,Master,53,0
Female,46-60,Asian,7,Bachelor,45,0
Male,46-60,Asian,11,PhD,42,0
Female,18-30,Hispanic,6,Bachelor,55,1
Female,18-30,White,14,PhD,46,0
Male,18-30,Asian,16,HS,91,0
Female,31-45,White,3,Bachelor,53,1
Female,18-30,White,12,PhD,48,0
Female,46-60,Hispanic,17,Master,54,0
Female,46-60,Asian,0,Master,60,0
Female,18-30,Asian,15,Bachelor,74,0
Female,18-30,White,12,Bachelor,41,0
Male,60+,Black,9,HS,66,0
Male,46-60,Hispanic,11,Bachelor,41,1
Male,31-45,Hispanic,1,HS,74,0
Male,60+,Hispanic,2,HS,57,1
Male,18-30,Hispanic,9,Master,53,1
Male,18-30,Asian,1,Master,59,1
Female,46-60,Asian,12,PhD,57,0
Male,18-30,Black,12,Master,49,1
Male,31-45,Hispanic,17,Master,64,0
Female,46-60,Hispanic,2,Bachelor,41,0
Male,18-30,White,6,Master,64,1
Female,46-60,Asian,13,PhD,93,1
Male,18-30,Hispanic,19,Bachelor,72,0
Female,18-30,Black,16,PhD,75,0
Female,18-30,Black,11,Master,70,0
Male,31-45,Asian,15,PhD,53,1
Male,31-45,Black,11,Bachelor,40,1
Female,46-60,Black,14,HS,85,1
Female,18-30,Asian,9,PhD,55,1
Female,18-30,Hispanic,6,PhD,93,1
Female,31-45,Hispanic,19,Bachelor,85,0
Male,18-30,Black,4,Bachelor,91,1
Male,31-45,Black,0,PhD,42,1
Male,18-30,Hispanic,16,Master,74,1
Female,46-60,Asian,2,PhD,80,1
Female,18-30,Black,12,Bachelor,45,1
Male,18-30,White,13,HS,64,1
Male,60+,Asian,17,HS,52,1
Male,31-45,Black,3,Master,92,0
Male,18-30,Black,17,PhD,73,0
Female,18-30,White,4,HS,47,1
Female,60+,White,15,PhD,60,1
Female,60+,Hispanic,0,Bachelor,73,0
Male,31-45,Asian,13,HS,43,1
Male,60+,Asian,14,Master,64,1
Female,46-60,Hispanic,8,Bachelor,54,0
Female,60+,Asian,14,Master,43,1
Female,46-60,Asian,16,Bachelor,84,0
Female,31-45,Asian,3,HS,99,0
Male,31-45,Asian,11,Master,51,1
Female,31-45,Asian,4,Master,71,1
Male,31-45,White,4,Bachelor,71,0
Male,31-45,Asian,10,Master,67,1
Male,46-60,White,5,Bachelor,52,1
Male,46-60,Asian,6,Bachelor,70,0
Female,31-45,Hispanic,13,Bachelor,53,0
Male,60+,Black,10,Bachelor,59,1
Female,18-30,White,12,HS,57,0
Female,31-45,Asian,1,Bachelor,68,1
Male,60+,Hispanic,6,PhD,99,0
Male,18-30,Black,19,Master,45,0
Female,31-45,White,3,PhD,71,0
Male,31-45,Black,7,HS,68,1
Male,46-60,Hispanic,19,PhD,82,0
Male,18-30,White,18,Master,41,1
Male,18-30,Black,12,PhD,99,0
Female,60+,Asian,13,HS,62,1
Female,46-60,White,9,Bachelor,58,1
Female,46-60,Black,10,PhD,70,1
Female,46-60,Hispanic,1,HS,90,0
Female,46-60,Hispanic,8,HS,44,0
Male,18-30,White,16,Master,58,1
Female,18-30,Black,2,Master,73,1
Female,31-45,White,5,PhD,49,0
Female,31-45,White,4,Bachelor,64,1
Female,46-60,Black,4,HS,41,1
Male,46-60,Black,14,PhD,50,0
Male,46-60,Asian,16,HS,89,1
Male,31-45,Black,8,HS,70,0
Male,60+,Hispanic,2,Bachelor,95,1
Female,60+,White,19,Bachelor,54,1
Female,31-45,White,16,PhD,48,0
Male,31-45,Hispanic,9,Bachelor,62,0
Female,31-45,Black,2,Bachelor,58,0
Male,31-45,Hispanic,17,PhD,48,1
Male,31-45,Hispanic,17,Bachelor,74,1
Male,31-45,Asian,16,Master,60,0
Male,46-60,Hispanic,2,HS,48,1
Female,46-60,White,2,HS,67,1
Male,46-60,Hispanic,5,HS,85,1
Female,46-60,White,12,HS,90,1
Female,31-45,White,14,PhD,46,1
Male,60+,White,8,HS,55,0
Female,18-30,Black,3,HS,55,0
Female,31-45,Asian,13,HS,99,0
Male,18-30,White,4,HS,72,1
Male,60+,White,1,Master,43,0
Male,46-60,Black,10,HS,43,1
Male,60+,White,8,Master,78,1
Male,31-45,Hispanic,2,PhD,79,0
Female,46-60,Hispanic,8,Bachelor,56,0
Female,31-45,Asian,2,HS,76,0
Male,46-60,White,1,Bachelor,78,1
Male,18-30,Black,11,Bachelor,99,0
Female,18-30,Hispanic,9,PhD,91,0
Male,18-30,Black,8,Bachelor,68,0
Male,60+,Black,14,Master,91,0
Male,31-45,Hispanic,7,Bachelor,75,1
Female,60+,Black,4,Bachelor,99,1
Male,18-30,Hispanic,10,Bachelor,77,1
Female,31-45,Black,1,HS,78,1
Female,18-30,Hispanic,14,HS,89,1
Male,60+,White,5,Master,76,0
Female,60+,Asian,7,Master,91,0
Male,60+,Hispanic,4,HS,74,0
Female,18-30,Hispanic,15,Master,46,0
Female,31-45,Asian,17,HS,66,0
Female,31-45,Hispanic,5,PhD,67,1
Male,18-30,Hispanic,4,Bachelor,61,1
Female,31-45,Black,15,Bachelor,53,1
Male,18-30,Asian,12,Master,46,1
Male,31-45,White,4,HS,76,0
Male,46-60,Hispanic,12,HS,61,1
Female,46-60,Asian,16,Master,44,0
Female,60+,Black,17,HS,94,1
Male,46-60,White,7,PhD,41,1
Female,46-60,Asian,12,Bachelor,66,1
Male,46-60,White,18,Master,60,1
Female,18-30,White,2,Master,93,1
Male,46-60,White,7,HS,77,1
Female,46-60,Hispanic,1,Master,54,1
Male,60+,Hispanic,7,PhD,60,0
Female,46-60,Black,12,HS,49,1
Male,46-60,Black,12,HS,62,1
Male,31-45,Asian,0,HS,97,1
Male,60+,Black,5,HS,95,1
Female,60+,White,18,PhD,78,0
Female,60+,White,15,HS,44,0
Male,60+,Hispanic,7,Master,40,1
Female,60+,White,0,PhD,52,0
Female,60+,Asian,15,Bachelor,60,1
Female,18-30,White,8,Bachelor,65,0
Female,46-60,White,12,Master,89,1
Male,60+,Asian,10,Master,84,0
Male,46-60,Black,12,PhD,60,1
Female,46-60,Black,9,Bachelor,92,0
Female,18-30,Asian,3,Bachelor,57,0
Female,60+,Hispanic,5,Bachelor,76,1
Male,31-45,White,6,Bachelor,84,1
Male,18-30,Asian,4,Bachelor,71,0
Female,31-45,White,10,HS,75,0
Female,46-60,Hispanic,12,Master,56,1
Female,46-60,White,18,HS,74,0
Female,18-30,Asian,9,Bachelor,88,0
Female,18-30,White,9,PhD,99,0
Male,31-45,Black,10,PhD,50,1
Male,60+,Hispanic,6,Bachelor,60,0
Female,31-45,Hispanic,17,Bachelor,91,1
Female,18-30,Hispanic,3,PhD,94,0
Male,31-45,Asian,1,HS,92,1
Male,18-30,Hispanic,13,HS,65,1
Female,31-45,Black,12,Bachelor,43,0
Male,18-30,Asian,11,HS,73,1
Male,18-30,Black,6,PhD,91,0
Female,18-30,White,1,HS,87,0
Female,60+,White,12,Bachelor,99,0
Female,31-45,White,13,PhD,57,1
Male,31-45,White,16,HS,79,0
Female,31-45,Black,8,Master,74,1
Male,18-30,Asian,16,PhD,80,1
Male,31-45,Asian,7,PhD,68,0
Female,31-45,Hispanic,1,Master,91,1
Female,18-30,Black,12,Master,68,1
Female,46-60,White,2,PhD,77,0
Female,18-30,Black,15,Master,81,1
Female,31-45,Hispanic,5,Bachelor,60,1
Male,18-30,Hispanic,18,Bachelor,81,0
Male,46-60,Black,6,Bachelor,52,1
Male,18-30,Black,9,PhD,88,0
Male,31-45,Black,8,Master,80,0
Female,46-60,Asian,1,Master,56,0
Male,60+,White,14,HS,95,1
Female,31-45,Black,4,HS,48,1
Female,46-60,Black,3,Master,80,1
Female,46-60,Black,19,Master,40,0
Female,60+,Hispanic,3,Master,41,0
Female,18-30,Hispanic,17,PhD,99,0
Male,18-30,Asian,3,Master,87,1
Male,31-45,White,16,HS,68,1
Female,60+,Asian,11,PhD,72,1
Male,18-30,White,16,Master,49,0
Male,60+,Hispanic,9,HS,89,1
Female,18-30,Hispanic,0,PhD,97,0
Male,46-60,Hispanic,17,Master,99,0
Female,18-30,Asian,17,Master,79,1
Female,60+,Black,13,Master,60,0
Female,46-60,Black,14,PhD,67,1
Male,46-60,Hispanic,11,HS,50,1
Male,46-60,Black,3,HS,94,0
Female,60+,Black,2,Bachelor,73,0
Male,31-45,Asian,19,Master,47,0
Female,31-45,White,11,Bachelor,98,1
Female,31-45,Hispanic,6,Bachelor,61,1
Female,60+,Hispanic,10,HS,47,0
Male,46-60,Asian,0,PhD,88,1
Male,31-45,Asian,5,PhD,54,1
Female,60+,Black,14,HS,56,1
Male,31-45,Hispanic,14,PhD,99,0
Male,18-30,White,18,Bachelor,62,1
Female,31-45,Asian,10,Master,63,0
Female,31-45,White,1,HS,84,0
Female,46-60,White,13,Master,58,1
Female,60+,Hispanic,1,PhD,44,1
Male,46-60,Hispanic,3,Master,71,1
Female,46-60,Asian,16,PhD,83,0
Female,46-60,Hispanic,2,PhD,40,1
Male,46-60,Hispanic,12,Bachelor,62,1
Female,46-60,Hispanic,8,PhD,76,1
Female,31-45,White,6,Bachelor,47,0
Female,46-60,Asian,14,Bachelor,52,1
Female,46-60,Black,10,Bachelor,47,0
Female,60+,White,19,HS,96,0
Male,18-30,Hispanic,1,HS,62,1
Male,31-45,White,14,PhD,82,0
Female,31-45,Hispanic,13,Bachelor,40,1
Female,31-45,Hispanic,19,HS,84,0
Female,46-60,White,10,Bachelor,90,0
Female,46-60,Asian,2,Master,63,0
Female,46-60,Hispanic,16,Master,74,1
Female,60+,Asian,11,Master,63,1
Female,18-30,Black,14,PhD,56,1
Female,46-60,Hispanic,15,Bachelor,44,1
Female,18-30,Asian,4,Master,59,1
Female,60+,Asian,19,HS,60,1
Female,31-45,Black,5,Master,79,1
Male,46-60,Asian,18,Master,97,1
Male,18-30,Asian,4,Master,70,0
Male,18-30,Black,2,PhD,85,1
Female,46-60,Hispanic,0,HS,75,1
Male,31-45,Asian,5,Bachelor,50,1
Male,31-45,Asian,14,HS,91,1
Female,31-45,Asian,1,Bachelor,54,0
Male,60+,White,2,PhD,58,1
Female,18-30,Black,16,PhD,46,0
Male,18-30,White,11,PhD,90,0
Male,18-30,Black,17,PhD,67,0
Female,60+,Hispanic,14,Bachelor,90,0
Male,18-30,Hispanic,11,Master,82,0
Male,60+,Asian,15,Bachelor,97,0
Female,31-45,Black,7,HS,44,0
Female,46-60,Hispanic,13,PhD,44,0
Male,18-30,Black,16,PhD,69,1
Female,18-30,Hispanic,7,HS,93,0
Male,31-45,White,14,Bachelor,71,1
Male,46-60,Hispanic,13,Master,47,1
Female,60+,White,17,Master,49,1
Female,46-60,Hispanic,19,HS,77,1
Female,31-45,Asian,6,Master,86,1
Female,31-45,White,2,Bachelor,71,1
Female,46-60,Hispanic,11,Bachelor,87,1
Female,60+,Asian,2,HS,67,0
Male,60+,White,19,Bachelor,56,1
Female,18-30,Asian,13,PhD,70,0
Male,60+,Black,14,HS,47,1
Male,46-60,Black,13,Bachelor,79,1
Male,31-45,White,6,HS,64,0
Male,18-30,Hispanic,16,Master,48,1
Female,18-30,White,11,Bachelor,41,1
Female,31-45,Asian,19,PhD,54,0
Female,60+,Hispanic,3,Bachelor,89,0
Male,31-45,Black,8,HS,42,1
Male,60+,Hispanic,5,HS,88,1
Male,31-45,Black,15,Bachelor,75,0
Male,46-60,Hispanic,1,PhD,43,1
Female,60+,Hispanic,7,PhD,53,0
Female,46-60,Hispanic,10,PhD,80,0
Female,18-30,Asian,12,HS,80,1
Male,31-45,Asian,16,Bachelor,64,1
Female,18-30,White,7,Master,97,1
Female,18-30,White,17,HS,94,0
Female,18-30,Black,17,PhD,89,0
Female,18-30,Asian,13,Bachelor,49,0
Male,31-45,Black,14,PhD,60,1
Male,18-30,White,5,Master,75,1
Male,31-45,Black,10,PhD,51,1
Female,31-45,White,12,PhD,66,0
Male,46-60,Asian,0,Master,79,1
Male,60+,Hispanic,5,Bachelor,41,1
Male,60+,Asian,8,HS,93,0
Male,31-45,Black,7,Bachelor,52,1
Female,46-60,Black,10,Master,92,0
Female,31-45,Asian,18,PhD,71,1
Male,31-45,Asian,8,Bachelor,70,0
Male,31-45,White,16,HS,55,1
Male,46-60,Black,11,Master,71,0
Male,60+,Black,13,Bachelor,71,1
Male,46-60,Asian,14,HS,99,1
Male,18-30,Hispanic,15,Master,73,1
Male,46-60,Black,19,HS,50,1
Female,46-60,Hispanic,0,Master,49,1
Female,46-60,Asian,9,PhD,54,0
Male,46-60,Asian,7,Bachelor,56,1
Male,60+,White,17,HS,79,0
Female,18-30,Black,0,Master,57,0
Female,60+,Hispanic,1,HS,94,0
Female,60+,White,0,HS,48,1
Female,46-60,Black,0,Bachelor,64,1
Male,31-45,White,8,PhD,79,0
Male,31-45,Asian,12,HS,98,0
Female,60+,Black,0,Master,53,1
Male,60+,White,12,Master,99,1
Female,46-60,White,19,PhD,97,0
Female,60+,Hispanic,6,Master,64,0
Female,46-60,White,1,PhD,89,1
Male,31-45,Black,5,Master,61,1
Female,31-45,Black,6,Bachelor,91,0
Male,18-30,Hispanic,13,HS,69,1
Female,31-45,Black,17,Bachelor,59,1
Female,60+,Asian,14,HS,60,0
Male,31-45,Black,1,HS,83,0
Female,46-60,Black,9,HS,71,1
Female,31-45,White,11,Bachelor,90,0
Male,18-30,White,16,HS,85,1
Male,31-45,Black,7,Bachelor,88,1
Male,46-60,Hispanic,10,PhD,95,1
Male,46-60,White,2,Master,60,1
Male,60+,Hispanic,5,Master,74,1
Female,31-45,Black,8,HS,97,0
Male,46-60,Black,5,Bachelor,71,1
Male,18-30,Asian,8,Master,69,1
Female,60+,White,6,Bachelor,94,0
Male,18-30,Black,8,Bachelor,78,1
Female,31-45,Asian,17,HS,88,0
Male,31-45,White,11,Master,51,0
Male,31-45,Black,7,HS,80,1
Female,60+,Black,7,HS,86,0
Female,46-60,White,17,Master,57,1
Female,60+,White,19,Master,60,1
Female,18-30,White,14,PhD,52,1
Female,60+,Black,6,PhD,60,1
Male,18-30,Black,10,Bachelor,47,1
Male,60+,Asian,19,Master,85,0
Female,46-60,Hispanic,15,PhD,79,1
Female,18-30,White,3,Bachelor,85,0
Female,31-45,Black,5,Bachelor,46,0
Male,31-45,Black,2,Bachelor,62,0
Male,60+,White,8,PhD,83,1
Female,31-45,Hispanic,9,Master,71,1
Male,18-30,White,13,HS,50,1
Female,31-45,Hispanic,10,Bachelor,61,1
Female,46-60,Black,17,PhD,61,0
Male,46-60,Hispanic,11,PhD,82,0
Female,60+,Asian,11,HS,64,1
Female,18-30,Black,12,HS,61,1
Male,46-60,Asian,12,PhD,67,0
Female,46-60,White,18,Master,68,0
Female,18-30,White,18,HS,52,0
Female,31-45,White,13,PhD,57,1
Male,31-45,Hispanic,3,HS,41,1
Female,60+,Black,12,Master,68,1
Male,31-45,White,7,Bachelor,60,0
Male,18-30,White,18,HS,54,0
Female,46-60,Black,11,Master,91,0
Male,31-45,White,17,PhD,66,0
Male,60+,Asian,5,HS,89,1
Female,31-45,Black,17,HS,70,0
Female,18-30,Black,18,PhD,54,0
Female,60+,Black,4,Bachelor,90,1
Female,31-45,Asian,8,PhD,62,0
Male,60+,Black,2,HS,63,1
Male,18-30,Asian,9,PhD,83,1
Male,46-60,Black,18,Master,52,0
Female,18-30,Hispanic,2,PhD,61,0
Female,18-30,White,14,HS,82,1
Female,18-30,Hispanic,0,PhD,76,0
Female,18-30,White,6,Bachelor,72,0
Male,46-60,Asian,11,PhD,95,0
Male,46-60,Hispanic,16,Bachelor,42,1
Male,60+,Black,19,Master,93,1
Female,31-45,White,4,Bachelor,58,0
Male,46-60,White,3,PhD,62,1
Female,46-60,Hispanic,11,HS,68,0
Male,31-45,Asian,19,Bachelor,69,1
Male,46-60,Hispanic,17,Master,78,0
Male,18-30,Asian,16,Bachelor,83,1
Female,18-30,Asian,18,Bachelor,86,0
Female,31-45,White,8,Bachelor,64,1
Male,60+,Hispanic,3,Master,76,1
Male,60+,Hispanic,1,PhD,86,1
Female,31-45,Asian,3,Bachelor,47,1
Male,31-45,Hispanic,1,Bachelor,81,1
Female,18-30,Black,14,HS,97,0
Female,60+,Black,1,Master,55,0
Male,46-60,Hispanic,3,Bachelor,47,0
Male,18-30,Hispanic,5,Master,40,0
Female,31-45,Asian,6,Bachelor,83,0
Male,60+,Black,9,PhD,44,0
Male,46-60,Black,18,PhD,42,1
Female,46-60,White,18,Bachelor,40,1
Female,18-30,Asian,11,PhD,43,1
Female,60+,White,2,Bachelor,79,1
Female,60+,Black,12,PhD,74,0
Male,31-45,Asian,17,HS,71,0
Male,60+,Hispanic,7,HS,81,1
Female,60+,Asian,14,HS,73,0
Female,18-30,Hispanic,0,Master,82,0
Male,60+,Hispanic,2,Master,64,1
Female,46-60,Asian,7,HS,49,1
Male,18-30,Hispanic,3,Master,60,0
Male,18-30,White,15,PhD,85,1
Male,31-45,Black,9,Bachelor,78,1
Male,60+,Hispanic,11,Bachelor,66,1
Male,31-45,White,13,Bachelor,66,0
Male,46-60,Hispanic,13,HS,41,1
Male,18-30,Black,1,Master,80,1
Female,18-30,White,4,PhD,87,1
Female,18-30,Black,4,PhD,52,0
Female,46-60,Black,5,HS,48,0
Female,46-60,White,12,PhD,91,0
Male,31-45,White,8,PhD,75,1
Male,31-45,White,14,PhD,61,0
Female,31-45,Asian,13,PhD,81,1
Male,60+,White,6,Master,65,1
Female,18-30,White,19,PhD,97,1
Male,18-30,White,1,Bachelor,93,1
Female,31-45,White,6,HS,51,0
Male,18-30,Hispanic,5,Master,56,1
Female,31-45,Asian,16,PhD,53,1
Female,60+,Black,1,Master,53,0
Female,60+,White,2,PhD,96,1
Male,46-60,Hispanic,4,Bachelor,73,0
Female,60+,Hispanic,4,HS,92,0
Female,31-45,Hispanic,0,PhD,96,1
Female,60+,Black,7,PhD,59,0
Female,46-60,White,11,PhD,50,1
Female,18-30,Asian,3,PhD,55,1
Male,31-45,Asian,12,HS,90,1
Female,18-30,Hispanic,14,HS,70,0
Female,46-60,Black,10,Bachelor,94,0
Female,46-60,Black,9,HS,45,1
Male,46-60,Black,2,PhD,95,0
Male,18-30,Asian,13,Bachelor,58,1
Female,18-30,Hispanic,15,Bachelor,76,0
Female,18-30,White,9,Bachelor,97,0
Male,18-30,Asian,9,PhD,43,1
Female,46-60,Hispanic,11,Master,86,1
Male,46-60,Hispanic,8,PhD,43,1
Male,31-45,White,0,HS,59,0
Male,31-45,White,4,HS,49,1
Male,18-30,White,19,PhD,63,0
Female,60+,Black,7,PhD,93,0
Male,60+,White,10,Bachelor,74,1
Female,46-60,Hispanic,11,PhD,65,1
Female,46-60,White,0,Bachelor,76,1
